passage	question	qus_type	answer
人民日报：拉拽公交司机被判刑 该！原标题：拉拽公交司机被判刑，该！（民生观）对公共安全造成巨大风险的行为，就得依法给予重罚近日，沈阳三起拉拽公交车司机行为当事人被判刑，引起关注。很多网友留言，对于这种对公共安全造成巨大风险的行为，就得给予重罚，让其为自己的错误买单，并以此教育、警示、震慑其他人。人人皆知，公交车司机的安全驾驶、专注驾驶，关乎一车乘客的安危，关系到道路安全。然而总有一些乘客，把“路怒”的不良情绪、行为，带到公交车上，与公交车司机对骂、掐架甚至殴打司机、夺方向盘，造成了严重后果。公共安全需要人人遵守规则、敬畏规则。近些年来，经济高速发展、社会剧烈变革，我们的生产生活方式都发生了很大变化，但就相应的规则意识、边界意识来说，有些人还是比较淡漠，旧行为、旧习惯还有一定惯性。比如说，住楼房，从高空往下抛垃圾；遛狗不拴绳，养狗养烈狗；开车脾气大，一旦不顺就路怒，把公路当赛车道，追来别去……不一而足。规则意识的养成，单靠道德说教、公德熏陶、自觉自律难以完成，必须依赖于制度建设，通过强制手段引导，让人趋利避害。比如针对一些在公共交通工具上不能控制自己情绪的行为，就应该及时制止，事后追惩；对于这样的乘客，建立黑名单制度；对其他潜在影响公共安全的行为，和个人征信系统关联等等。通过制度的刚性约束人的行为，倒逼形成规则意识。法律是守候公共安全的最好武器。以频频发生的公交车司乘冲突案例为例，细究一下，虽然在刑法上我们有危害公共安全的明确法条，但在实际司法实践中，对没造成严重后果的，极少诉诸法律。面对和乘客的冲突，有的公交公司甚至设立“司机委屈奖”，鼓励司机默默忍受，这也纵容了一些素质低下、易怒乘客的行为。对影响公共秩序、公共安全的行为，应该依法管理，不能姑息；夺方向盘、打司机，视满车人的生命安全为无物，对这样的人，决不能轻易放过。责任编辑：刘光博	谁的行为是不好的	21	拉拽司机的乘客
2015年卷2013年8月，46岁的天津医科大学第二医院心脏外科医生董伯岩，加入了援藏队伍。2013年8月12日5点23分，昌都地区发生6.1级地震，恰巧是董伯岩入藏后上班的第一天，董伯岩说当时身体还有些高原反应。但时间就是生命，作为医疗救护副总指挥，他立即带领天津援藏专家深入震中左贡县田妥乡沙益村开展救护工作，出色地完成了抗震救灾、医疗救治与防疫工作。一天晚上，5岁的藏族女孩旺姆气管中误入异物，家人带她赶到医院时已奄奄一息。市人民医院还没有儿童气管镜，医生们都束手无策，危急时刻，董伯岩赶到医院，凭借丰富的临床经验，很快切开气管取出异物，孩子得救了。虽然进藏时间不长，但类似的事情已有好几次，广大藏族同胞纷纷称他为天津来的好“门巴”。2015年7月，昌都市卫生局开展“迎大庆，保稳定，送温暖巡回医疗暨流动医院应急演练活动”，卫生系统50多人驱车600多公里，为偏远农牧区的1800多位农牧民群众诊疗，开展各种手术9例。活动从策划到实施，都由董伯岩和天津医疗队负责。他常说，“比起我自己在这里治好一个病人来说，把技术和经验传给当地的医生护士，留下一支不走的医疗队更重要”。董伯岩发现院内有几台呼吸机长期闲置，于是就组建了重症监护室。刚刚成立的重症监护室接诊了一名急性肉毒杆菌中毒的藏族患者，经过10余个昼夜连续不停地紧张抢救和治疗，终于让她获得新生。（西藏自治区文明办供稿）他为广大农牧民群众的身体健康带来了新希望；同时，他用辛勤和汗水浇灌的民族团结之花，将永远盛开在藏东高原。致敬词小传：董伯岩，1968年生，天津市河西区人，天津市第七批援藏技术干部。他牢记使命，用精湛的医术赢得了各族干部群众的认可。	文中的正面行为都是谁做的？	22	董伯岩.
★主要事迹13年前，江祖争来到石狮市开始了骑摩托车载客的营生，成为石狮市40多万外来工中的普通一员。2012年7月11日上午，江祖争将摩托车擦拭干净后，就上街载客。在石狮市东港路新华都超市门口，一名男子拉着大箱子坐上了他的车，说要去百德商住楼。到目的地后，男子付完车钱，急匆匆地拉着箱子走了。江祖争开摩托车返回超市门口候客。行驶一段路后，他总觉得车后座上夹着一样东西。停车一看，一个黑色皮包，里面装着一大沓百元大钞。江祖争赶快掉头折回百德商住楼找那名男子，但是人来车往，男子早已不见踪影。他想失主肯定很着急，便立即骑车来到湖滨派出所，把皮包交给了值班民警。民警当场清点包里钱物，共有20200元、一张身份证和一张建设银行卡，身份证显示失主是福州市闽侯人吴某。民警通过身份证寻找失主，然而失主只登记了一个固定电话号码，打电话却告知无此人。直到第二天下午，警方才联系上失主吴先生。看到2万多元现金失而复得，吴先生十分激动，连声道谢，同时从口袋掏出一把现金，硬往江祖争手中塞作为酬谢。但被江祖争婉言谢绝。有人问江祖争：“你生活也不宽裕，这2万多元，是你一年的收入啊！”这名憨厚的江西老表笑着说：“树靠树根，人靠良心，做人就得讲诚实、守信用，不能违背良心啊！”	江祖争做了什么优秀的行为	11	诚实守信，拾金不昧
甘肃男子持刀行凶致8死7伤 怀疑妻子出轨蓄意报复来源：白银市公安局2月5日凌晨，白银市会宁县发生一起严重刑事案件，致8人死亡、7人受伤。接报后，当地公安机关立即赶赴现场抢救受伤人员，开展现场勘查侦查工作，抓捕犯罪嫌疑人。经过缜密工作，当日凌晨6时许，犯罪嫌疑人郭某某（男，汉族，49岁，会宁县人）被公安机关抓获。据该郭初步交代，其因怀疑妻子与他人有不正当男女关系，怀恨在心，蓄意报复，于2月5日凌晨，酒后独自一人窜入村民家中持刀行凶。目前，死者善后、伤者救助等工作正在有序进行，案件正在审理之中。责任编辑：张岩	谁的行为是严重的？	21	郭某某
不满父母管教 太原14岁少年挥刀刺死亲生父亲原标题：不满父母管教，太原14岁少年挥刀刺死亲生父亲“我知道错了，后悔犯了大错，触犯了法律，今后我一定好好学习、积极改正，做一个对社会有用的人！”2月18日，太原中院依法对14岁的被告人刘洋（化名）涉嫌故意杀人罪进行了不公开审理。做最后陈述时，刘洋对自己的做法痛悔不已。本文图片均来自“山西晚报”微信公众号14岁少年杀死父亲案发经过：2018年6月21日23时许，刘洋因为不满父母的管教，拿了一把水果刀刺进了正在睡觉的父亲刘强（化名）脖子，因为父亲反抗，又用被子盖住其头部，用刀多次朝其身上刺。接着又持刀刺向正在睡觉的母亲孙青（化名），将母亲面部、颈部、上身刺伤。随后，刘洋将刀扔在现场并逃离。经120急救医生现场确认，受害人刘强已死亡，孙青被送往医院进行救治。经鉴定，刘强系被他人用单刃锐器刺破右侧颈内静脉致大失血死亡，孙青人体损伤程度为轻伤二级。“迷途羔羊”迎来庭后帮教庭审前，太原中级法院进行了周密安排，强调寓教于审、审教结合，把庭审变成教育、改造未成年被告人的重要阵地；克服单纯办案、就案办案，采用针对性的庭审方式，将适度心理干预引入庭后教育，进行有针对性的心理疏导，针对未成年被告人的心理、生理特点，从而使其能积极接受法律惩罚，帮助其减弱心理障碍，树立改过自新的信心，彰显司法人文关怀。庭审经过对案件事实进行充分的举证、质证，以及法庭辩论、最后陈述等环节，清晰还原了被告人刘洋一步步走向犯罪深渊的过程，刘洋对犯罪事实供认不讳，表示愿意接受法律的惩罚，洗心革面、重新做人。“我觉得你是一个特别理性的孩子，庭审中的你冷静、沉着……”随着心理咨询师马荣轻柔的话语，耐心引导被告人刘洋敞开心扉，巧妙地化解他的拘束感和消极情绪。14岁的刘洋不时微微搓着双手，渐渐打开了他紧锁的心门。在安排母亲孙青与刘洋见面，母子相拥的一刹那，刘洋流下忏悔的泪水：“是我错了，我会用实际行动来弥补，希望给我重新做人的机会。”孙青紧紧握着刘洋的手，指着全家福告诉刘洋：“妈妈希望你好好活着，好好学习，好好改造，好好做人，只要你在，我就有希望。”母亲的深情表露使刘洋对自己的做法特别悔恨：“我进来了，我才领悟了，我14年真的白活了，做下了无法挽回的事情。妈妈你相信我，我会好好改造，好好学习，等我将来报答您。”“网瘾+暴力游戏”之伤心理咨询师马荣认为，生养及教育方面存在对该起侵害行为结果的决定性影响。刘洋生命早期没有树立良好的规则、边界等意识，虽然拥有14岁的年龄，但其内心人格弱小，一直没有发展起良好的与之年龄相匹配的自我功能，无法控制自我的意识与行为。忍受不了父母拒绝出钱给物，和平日里爱玩暴力恐怖游戏，是其实施侵害行为的重要因素。刘洋无法区分虚拟与现实，虽身体逐淅成人化，但其个体意识和行为模式出现了严重障碍，导致酿成严重的不良后果。在未成年刑事案件审理中，太原中院法官针对未成年被告人的实际情况，注重突出未成年人特点，既严格审判程序，又体现人文关怀，力求以平和的态度、舒缓的语气，尽可能创造出一种既严肃又宽松的环境，引导未成年被告人实事求是地陈述案情、进行辩解，避免强烈的争辩给未成年被告人带来的不良影响。来源：山西晚报微信公众号点击进入专题：江苏13岁男孩因不服管教杀死其母 四川雅安3名未成年人捂死48岁女子责任编辑：王亚南	一句话描述文中一件涉及道德的行为	42	不满父母管教 太原14岁少年挥刀刺死亲生父亲
★主要事迹许宗军出生于牧区农家，继承了父母淳朴善良的本质。毕业后，他放弃了留在省城工作的机会，毅然决然地回到了家乡，回到了那个被很多人誉为“生命禁区”的地方从事教育工作，这一干就是15年。就任果洛州久治县索乎日麻乡藏文寄宿制中心小学校长以来，他充分发扬民主，广泛采纳教职工意见，借鉴先进地区经验，不断优化教学管理，健全各项规章制度，真正做到了用制度管人、管事，有力保障了学校教育教学质量的提高。同时，他强化后勤管理，创新思路，率先在全县探索推广学生食堂社会化承包运营，得到了上级领导的认可和广大家长的好评，为全县中小学全面推行学生食堂社会化承包运营积累了经验。此外，在他的积极奔走努力下，从2014年开始，全县中小学食堂实行了煤改油（烧煤炭改为生物油），大大降低了成本，提高了效率，为教学工作提供了强有力的保障。牧区办教育难度大，尤其控辍保学工作难度更大，一旦出现辍学，他总是第一时间深入学生家庭耐心细致地做教育劝返工作，面对面同家长谈心、讲道理。15年来，他的足迹遍布了学区内的每个角落。为解决贫困生就学问题，在用足用好国家现有政策基础上，他积极向社会呼吁，倡导各界爱心人士积极捐资助学，基本杜绝了学区内因贫辍学、逃学现象。	许宗军做了什么正能量的事	11	15年来，坚持解决贫困生就学问题
·2015年5月见义勇为李俊于1999年调入蒋王中学工作，一直坚持在教学一线。他多年担任班主任，连续7年参加高考语文作文阅卷。他晚睡早起、不怕吃苦，是蒋中的“拼命三郎”；他尊重学生，把学生当朋友对待，是学生心目中的“俊哥”。在他担任学校艺术部负责人期间，艺术部规模达4个班，在2015年省高考艺术统考中，蒋王中学优秀率高达70%。2015年1月29日，蒋王中学8名学生在南京参加影视传媒专业单招考试。因考试批次不同，其中7名学生提前考试结束，李俊便将他们安全护送到南京汽车东站，送他们上车。下午六点左右，李俊返回考点等待报考南京晓庄师院的学生陆文倩，两人共同乘车返回扬州。此时风雪交加、道路湿滑、能见度差，车辆不断打滑，险象环生。李俊一边要求驾驶员减速慢行，一边用身体护住学生陆文倩。车辆在行驶一段时间后，失控撞向护栏，侧翻在道路右侧。在车辆失控的刹那间，李俊不顾自身安危把陆文倩紧紧护在怀中，成为她减少伤害的“肉垫”。他因此承受了巨大的冲击，胸骨、肋骨瞬间被压断，胸部下陷，内脏破裂，引发大出血。10多分钟后，救援人员赶到后破开车窗。已到生命尽头的李俊用尽全身力量，将毫发无损的陆文倩托举出车厢。李俊再也没有了呼吸，生命永远定格在45岁。（江苏省文明办供稿）车祸瞬间，他紧紧护住学生，拼尽力气，直到英勇牺牲。生命定格的“拼命三郎”，永远是学生们心中的“俊哥”。致敬词小传：李俊，1970年生，江苏省扬州市邗江区人。车祸瞬间，他用身体保护学生，自己壮烈牺牲。	谁做了伟大的事	21	李俊
2015年卷唐高群扎根山村21年，如高山之松，为山村孩子们遮挡风雨；如一支蜡烛，为山村孩子们照亮前程！致敬词1994年，20岁的唐高群当上了湖北省黄冈市河铺镇石头板村小学的代课教师。由于左侧肋骨先天缺失，他的背部总是驼着。村里有条百余米宽的河，石头板村小学位于小河的西岸。冬季枯水期，一座小桥是唯一的过河通道，唐高群亲自送孩子们过桥。而在春夏秋三季，河床涨水，桥被冲毁了，他只得脱下鞋子，卷起裤腿，背孩子们过河。身高只有1.45米的他，背着学生蹚过100多米宽的河道，最快也得七八分钟。最多的时候，有20多位学生需要背过河。每次背完孩子，身体累得发软，好几次，险些栽倒在河里，他躺在河边休息好一会儿，才缓过神儿来。1995年夏天，河里涨水，唐高群目睹一名孩子掉进水中。不会游泳的他毫不犹豫地跳进河里，将孩子救了起来，他自己却差点儿没能起来。自他开始护送学生，就再也没有发生过安全事故。2004年，石头板村小学撤销，大部分孩子转到了凉亭河村小学就读，但距离该小学较远的一些留守儿童坚持要在原地就读，石头板村小学就成了唐高群一个人的教学点。虽然学生不多，但教育教学各项工作一项也不能落下，教学、做饭、搞卫生、送孩子……他每天忙得像停不下的陀螺。中午放学送完学生，还要为留校学生做饭，下午所有学生离开后，他又忙着打理菜地、收拾做饭的柴火。晚上改作业、备课、学习。他还通过自学取得了大专文凭和教师资格证。这些年，石头板村教学点的学生越来越少，唐高群说，他会像山里的松树坚守大山一样，一直守在这里，哪怕只有一个学生，只要他还走得动，他就会一直背下去、教下去。（湖北省文明办供稿）小传：唐高群，1974年生，湖北省黄冈市罗田县人，石头板村小学代课教师。他坚守山村以“驼背”作桥，21年背学生过河上学。	文中唐高群的什么行为让他被歌颂	32	护送学生上学，认真从事教学工作
★主要事迹1981年3月，18岁的凌尚前来到离家5公里的天池民兵哨所，当上了一名普通的边防哨兵。当年南国边境冷枪冷炮犹闻，战备训练、巡逻执勤、守卡潜伏是主要任务。刚进哨所时，凌尚前的月工资只有30元，微薄的收入、戍边的寂寞，从来没有动摇他保卫祖国边境安全的决心和意志。33年来，凌尚前有过数次离开哨所的机会，但他毅然选择了坚守。20世纪80年代末，镇里准备以招干的形式从哨所选拔一名哨员当专武干部，这是身份与待遇的转变。作为首选对象的凌尚前把这个机会让给了另一名同志。90年代初，哨所裁员整编，凌尚前被吸纳为乡镇办事员。没做几天，听说哨所的人都想走，他便待不住了，打了报告回到哨所。当年与他一起并肩战斗的同志，有的成为地方领导，有的成为边贸老板，唯有凌尚前还坚守在哨所，当一名“和平守望者”。为了改善哨所条件，老凌经常带领哨兵们修建巡逻路，劈山挖土、扩建营房、肩挑背驮。他和哨员们还在半山腰开垦了一亩多的梯田菜地，从石旮旯里挖出了一口鱼塘。凌尚前工作至今，先后9次被评为优秀共产党员，12次被评为边防执勤先进个人，4次被评为优秀民兵哨长。（广西壮族自治区文明办、百色市文明办供稿）都说“铁打的营盘，流水的兵”，可凌尚前坚持驻守天池30多年。他用无悔的青春谱写了对祖国的无限忠诚，用奉献和坚守护卫着国门。◆致敬词◎小传凌尚前凌尚前，1963年生，广西壮族自治区百色市那坡县人，那坡县天池民兵哨所哨长。8公里边防线，用双脚丈量了3000多次，磨破了300多双解放鞋，驻边33年不叫苦。	如何评价凌尚	43	吃苦耐劳、对国忠诚
女孩深夜回家遭劫 同住闺蜜的朋友挺身而出原标题：女孩深夜回家遭劫，幸亏他在……年轻女孩凌晨独自回家，一男子尾随其进入电梯，实施持刀抢劫，得到财物后仍不甘心，威逼女孩进入其住所后继续索要钱款。正在危急之时，幸好同住闺蜜的朋友挺身而出，与歹徒激烈搏斗后，虽被划伤最终还是将歹徒制服。记者从南京秦淮警方获悉，1月20日，秦淮公安分局对见义勇为的黄先生进行了表彰，并颁发了荣誉证书和奖金。电梯惊魂>>>女孩遭黑衣男子持刀抢劫1月20日凌晨，年轻女孩小曲（化名）下班后，独自一人打车回家。进电梯时，有一名穿着黑色羽绒服，戴着口罩和帽子的男子也跟着走了进来，而此时的小曲还在用微信与朋友聊天，对身后的男子和即将到来的危险毫无防备。电梯门关上不久，黑衣男子突然从背后用左手掐住小曲脖子，并用右手拿出一把尖刀相威胁，“别动，不然我就捅你了”。小曲一下子就蒙了，吓得说不出话来。对方说，他已经走投无路了，现在只要钱，让小曲赶紧把身上的钱都拿出来。但小曲身上并没带现金。就这样僵持了一会，电梯很快到了23层。见外面没人，男子便将小曲挟持到了外面的消防通道处，还不耐烦地说：“你不要逼我，我只要钱。”男子提出要5万元，手机转账也可以。但偏偏前一天，小曲刚换了新手机，还没来得及安装支付软件。得知这一情况后，男子变得更加暴躁，使劲地掐小曲的脖子。小曲赶紧将随身携带的新手机及价值一万多元的手表一并交出。不顾刀伤>>>闺蜜的朋友奋力搏斗制服歹徒然而，得到财物的黑衣男子并未选择罢手，他又开始逼问小曲家里都有什么人，得知小曲是和闺蜜同住后，便让小曲带他回家取钱。进入家门，男子让小曲去取银行卡。小曲被男子押着进入闺蜜房间，谁知房门打开后，里面除了小曲的闺蜜外，还坐着一名年轻男子，原来是闺蜜的朋友黄先生正巧过来拿东西。这一下让持刀男子吓得不轻，不过一会他就镇定了下来，“你们都不要叫，我只是求财”，他还在虚张声势。见有人竟然抢劫，黄先生连忙进行喝止，并告诉对方，这样的行为后果很严重。黄先生和小曲的闺蜜都劝男子不要冲动，但根本没用。僵持一会后，黄先生慢慢地向对方靠近，试图寻找机会上前救下小曲。黑衣男子见状挥舞着尖刀，企图吓退黄先生。而黄先生靠近后，找到机会上前勾住对方脖子，黑衣男子惊慌失措，赶紧松开小曲，与黄先生扭打在一起。由于黑衣男子手中有刀，搏斗时几次划在了黄先生身上，但黄先生始终没有松手，最终成功将其制服。见黑衣男子基本被控制住了，一旁被吓得够呛的两名女孩也赶紧来帮忙并报警。铤而走险>>>歹徒透支信用卡，动邪念抢劫接警后，洪武路派出所民警第一时间赶赴案发现场，将嫌疑人带回派出所进行处理。该男子交代，自己姓许。因为平时花销太大，信用卡也欠下不少钱，感到生活压力很大，就想着拿刀出去抢点钱。许某认为凌晨独自出行的年轻女孩比较好下手，正巧当天凌晨他在马路上寻找目标时，撞见了小曲，于是心生歹意，上前挟持了小曲。    扬子晚报/扬眼记者 陈勇通讯员 秦公轩 庄颖责任编辑：张申	文中出现的英勇正义的行为是谁做的？	21	黄先生。
5岁女童遭母亲推搡后摔伤 后经抢救无效死亡新京报快讯(记者 赵凯迪)昨日(5日)，有网友爆料称，湖南怀化市一名女童遭到其母亲殴打，后经抢救无效死亡。自称为死者幼儿园老师的网友发布信息称，女童在幼儿园上学时，整个学期身上的伤没断过，这些伤是她自己的亲妈打的。“最近女孩又遭其母亲家暴，而这次，被推进医院的ICU病房之后，她就再也没出来。”信息中称。今天，新晃侗族自治县公安局发布通报称，2017年1月4日，警方接群众报警，称在县人民医院有一名女童在抢救治疗，怀疑被其母亲虐待致伤。经查，2017年1月3日晚，因嫌5岁的女儿杨某吵闹，母亲马某在新晃县禾滩镇街上的出租房内对女儿进行推搡，造成女儿摔倒在地，头部受伤。1月4日6时许，马某将女儿杨某送到医院抢救治疗。1月5日，杨某因抢救无效死亡。在此居住生活期间，杨某因顽皮等原因多次被其母亲马某殴打，臀部、腹部等处受伤。目前，犯罪嫌疑人马某(女，31岁，新疆维吾尔族自治区乌鲁木齐市人，回族)涉嫌虐待儿童被依法刑事拘留，案件还在进一步侦办当中。 编辑：李丰  校对：郭利琴	马某的行为造成了什么后果？	33	被依法刑事拘留。
扫雷战士边境突遇爆炸 紧急救治后已脱离危险原标题：扫雷战士边境突遇爆炸 紧急救治后已脱离危险日前，在中越边境云南段扫雷作业过程中，扫雷战士杜富国处理一枚遗留高爆手榴弹时，突遇爆炸，虽然身穿排雷防护服，仍全身多处受伤，危及生命。历全力紧急救治，受伤战士目前已脱离危险，各项生命体征良好。扫雷作业区位于中越边境云南省文山州麻栗坡县，属于丛林山区，离县城较远。10月11日下午2点40分发生爆炸后，战士杜富国当场昏迷休克、伤情十分严重。现场军医进行急救包扎处理后，战友们迅速护送杜富国到麻栗坡县人民医院进行先期抢救治疗。同时，扫雷大队向桂林联勤保障中心第59医院请求进一步医疗救援。部队医院迅速抽调外科、骨科、眼科、烧伤、皮肤等科室的多名专家，组成应急抢救小组，组织两辆救护车赶往麻栗坡县医院协助救治和后送。经过军地双方医护人员近3个小时的共同努力，杜富国术后伤情得到有效控制，生命体征趋于平稳。考虑爆震后24小时至48小时肺部伤情可能加重，县医院医疗条件有限，经医院专家组综合评估后，决定立即将杜富国连夜后送至解放军第59医院进行后期治疗。为确保后送途中安全，医院积极协调申请当地交警开道，保障路线畅通，为救治赢得宝贵时间。次日凌晨，顺利抵达部队医院后，由10多名专家组成的治疗小组紧急会诊，全力对杜富国的伤情进行后续治疗。桂林联勤保障中心第59医院院长 杨黎：经过前期的紧急救治，患者的伤情基本平稳，下一步的治疗主要是进行创面修复功能康复治疗和心理干预。责任编辑：刘光博	杜国富的什么行为是英勇无畏的？	11	处理高爆手榴弹。
借点钱我手机手表全抵给你?有人跟你说这个别上当原标题：“借我点钱吧，我手机手表全抵押给你！”在街头有人跟你说这个，别上当“借我点钱吧，我手机、手表全抵押给你！”如果有陌生人在街头对你说上面那句话千万不要相信，马上走开，并及时打110报警！这是街头诈骗！南海已有人上当被骗1万元10月13日下午16时许，程女士步行至官窑城区中国银行门口时，一辆小车缓缓驶来。后座的一名陌生男子自称是某知名品牌服装连锁店的经理，由于刚才忘记关车窗，车上的证件和钱包都被偷了，想借2万元现金周转。一开始程女士也是半信半疑，可男子随后的一句话让程女士动心了……“我可以把我的手机和手表拿给你做抵押，你帮我过了这个难关，我再送你一台手机做谢礼！”男子说道。此番话语打动了程女士，随即，她到附近柜员机取了1万元现金。此时，陌生男子打电话给自己的“女助手”，女助手声称过一会就会将1万元通过微信转回给程女士。于是，程女士将钱交给了陌生男子，同时也收到对方用于抵押的“手机和手表”。男子随即离开。15分钟后，程女士仍然未收到“女助手”添加微信好友的提示，程女士再打电话过去想询问，但已无人接听，随后细看手中收到的手机，竟然也是假的，于是报警求助。目前，该案件正在侦查中。市反诈骗中心提醒你遭遇诈骗，一定要打电话报警佛山市反诈骗中心提醒你反诈骗中心的举报电话就是110“不听不信不转账，遇骗拔打110“来源：南海公安、佛山市反诈骗中心责任编辑：桂强	谁的行为是恶劣的？	21	男子
★主要事迹作为医生，在茫茫人海中能够与一名患者相遇，这就是“医缘”，这是张淑英对医患关系的另一种诠释。多年来，她十分珍爱这种缘分。1997年她接诊永昌新城子一名急性肾绞痛病人，全部检查完，病人只剩下100多元钱，她主动垫付了600多元治疗费和医药费。2007年，一名患肾病14年的15岁少年被父母放弃了治疗，孩子的爷爷怀揣一丝希望找到她。孩子是典型的“肾综”，病情危重，随时会出现生命危险。这种情况下，一般医生都会推掉，但她收下了。经过半年治疗，孩子终于康复。孩子的爷爷在临终前把孙子托付给她做干儿子。如今，孩子已22岁，长得人高马大，成了她一生的骄傲。2008年，她为一名病人担保了1200元住院费，这位病人虽然病好后没结账就溜走了，但这却丝毫没有影响她日后对病人的关爱和救治。担任医务科主任后，她先后成立了肾病结石病专科、碎石中心、腹透诊室，亲手制定了科室各种规章制度及诊疗规范。多年来，她在负责日常诊疗工作的同时，还接管各种危重、疑难、典型病人，共诊治门诊病人约10万人次，收治病人5000余人次，抢救重危患者1200余人次。她刻苦研究专业知识，先后在《中华肾脏病》杂志、《中国中医急症》等全国发行刊物上发表专业论文10余篇。1997年，她率先在金昌、阿右旗、张掖等地区开展首例“体外震波碎石”治疗胆系、泌尿系结石技术。2012年，她又率先在金昌及邻近地区开展“尿毒症腹膜透析治疗技术”，填补了金昌市腹膜透析治疗技术的空白。（甘肃省金昌市文明办供稿）30年来，她视病人如亲人，用真诚、友爱、汗水和智慧铺垫着良医大道，播撒着天使情怀。◆致敬词◎小传张淑英张淑英，1965年生，甘肃省武威市人，金昌市人民医院医生。30年来，她视患者如父母、兄弟、姐妹，被誉为“最信得过的医生”。	谁的行为是值得信任的？	21	张淑英
·2015年11月助人为乐2004年，年近八旬的退休医生范忠贵搬家来到成都市龙泉驿区大面街道好日子社区，原本打算在这里养老，可当社区居民得知这个老人曾是一名老军医，还给省级领导当过保健医生后，便纷纷找到他看病。对于居民们的请求，范忠贵从不推托。随着找范忠贵看病的居民越来越多，2005年，他干脆在社区一个简陋的休闲亭里办起一个义诊服务点，将每月的10日、20日、30日上午设为固定的义诊日，为有需要的居民看病。他说自己愿意把60余年所积累的医学知识服务于社会，奉献于社会。前来找范忠贵的病人，大多数是慢性病或经治疗效果不佳者，他们在范忠贵的帮助下，都得到了康复。时间长了，大家都亲切地称他“范爷爷”。社区群众唐如义说起范爷爷，就止不住地感谢。他说，有一次他患病住院，近半个月也没有好转，后来按照范爷爷给出的药方服药，很快就得到康复，总共才花了10多块钱。社区居民刘先生因感冒引发心肌心包炎，在医院冶疗近两个月，疗效不佳。范爷爷用一个月时间，针对他的病情进行精心诊治。如今，刘先生心悸症状已消失，经医院医生检查，已经痊愈。每次义诊日，亭外总是挤满了前来求医的病人，他们早已熟知，这里的范爷爷只开方、不卖药，开方分文不取。范忠贵总说“病人不吃不喝攒点钱，病了实在挺不过去才敢去医院看，我怎么能拿着医生的名义去赚钱？”从2005年至今，他已坚持免费义诊10余年，服务社区居民上万人次。为了对病人负责，凡是来就诊的每一位患者，范忠贵如在职医生一般，对病情认真诊断，精准用药，并认真地做好每位病人的健康档案记录。自开展义诊以来，从未发生过一起医患纠纷。在范忠贵的医案上有这样一句话：“治病救人即是乐，不为浮名绊此生。”这位白发苍苍的老人，用蹒跚的步伐，书写了医者父母、救人济世的医德医风。（四川省文明办供稿）小传：范忠贵，1929年生，山西省高平市人，成都市龙泉驿区居民。他年轻时是保健医生，退休后为社区居民免费义诊10余年。范忠贵他是年过八旬的老军医，为回报党恩，把60余年所积累的医学知识无私奉献给社会。医者仁心，彰显人间大爱。	为什么范忠贵是高尚的？	32	因为范忠贵退休后为社区居民免费义诊10余年。
